"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 11:37:44 MSK 2022","Wed Aug 24 11:38:55 MSK 2022","71406","tests","test_supply_routes","Test_supply_routes","","","test_route_selection","Выбор маршрутов"
"passed","Wed Aug 24 11:33:38 MSK 2022","Wed Aug 24 11:33:47 MSK 2022","8590","tests","test_service_management","Test_service_management","","","test_start_services_at_a_time[service2]","Запуск сервиса"
"passed","Wed Aug 24 11:30:57 MSK 2022","Wed Aug 24 11:31:06 MSK 2022","9731","tests","test_service_management","Test_service_management","","","test_stop_services_at_a_time[service0]","Остановка сервиса"
"broken","Wed Aug 24 11:30:32 MSK 2022","Wed Aug 24 11:30:48 MSK 2022","15934","tests","test_ldap_upload_and_group","Test_Ldap_upload_and_group","","","test_creat_new_allowed_addresses[mpp-controlers]","Выгрузка группы LDAP"
"passed","Wed Aug 24 11:33:18 MSK 2022","Wed Aug 24 11:33:29 MSK 2022","10721","tests","test_service_management","Test_service_management","","","test_start_services_at_a_time[service1]","Запуск сервиса"
"passed","Wed Aug 24 11:31:18 MSK 2022","Wed Aug 24 11:31:28 MSK 2022","10554","tests","test_service_management","Test_service_management","","","test_stop_services_at_a_time[service1]","Остановка сервиса"
"passed","Wed Aug 24 11:32:38 MSK 2022","Wed Aug 24 11:32:48 MSK 2022","10400","tests","test_service_management","Test_service_management","","","test_stop_services_at_a_time[service5]","Остановка сервиса"
"passed","Wed Aug 24 11:31:11 MSK 2022","Wed Aug 24 11:32:17 MSK 2022","65418","tests","test_types_publications","Test_types_publications","","","test_create_type_publications[path0-test_data0]","Создание/Удаление типа публикации"
"passed","Wed Aug 24 11:33:59 MSK 2022","Wed Aug 24 11:35:18 MSK 2022","78377","tests","test_supply_routes","Test_supply_routes","","","test_create_new_route","Создание/Удаление маршрута публикации"
"passed","Wed Aug 24 11:32:58 MSK 2022","Wed Aug 24 11:33:08 MSK 2022","10233","tests","test_service_management","Test_service_management","","","test_start_services_at_a_time[service0]","Запуск сервиса"
"passed","Wed Aug 24 11:32:29 MSK 2022","Wed Aug 24 11:34:03 MSK 2022","94177","tests","test_types_publications","Test_types_publications","","","test_edit_type_publications[path0-test_data0]","Создание/Редактирование/Удаление типа публикации"
"passed","Wed Aug 24 11:31:38 MSK 2022","Wed Aug 24 11:31:47 MSK 2022","9518","tests","test_service_management","Test_service_management","","","test_stop_services_at_a_time[service2]","Остановка сервиса"
"passed","Wed Aug 24 11:30:32 MSK 2022","Wed Aug 24 11:31:38 MSK 2022","66322","tests","test_allowed_addresses","Test_allowed_addresses","","","test_creat_new_allowed_addresses[test_name0-path0-test_data0]","Создание/Удаление разрешённого адреса"
"passed","Wed Aug 24 11:33:03 MSK 2022","Wed Aug 24 11:34:06 MSK 2022","63033","tests","test_allowed_addresses","Test_allowed_addresses","","","test_creat_new_allowed_addresses[test_name2-path2-test_data2]","Создание/Удаление разрешённого адреса"
"passed","Wed Aug 24 11:34:31 MSK 2022","Wed Aug 24 11:34:40 MSK 2022","9034","tests","test_service_management","Test_service_management","","","test_start_services_at_a_time[service5]","Запуск сервиса"
"passed","Wed Aug 24 11:31:57 MSK 2022","Wed Aug 24 11:32:08 MSK 2022","11282","tests","test_service_management","Test_service_management","","","test_stop_services_at_a_time[service3]","Остановка сервиса"
"passed","Wed Aug 24 11:35:26 MSK 2022","Wed Aug 24 11:37:35 MSK 2022","129578","tests","test_supply_routes","Test_supply_routes","","","test_edit_route","Создание/Редактирование/Удаление маршрута публикации"
"passed","Wed Aug 24 11:35:23 MSK 2022","Wed Aug 24 11:36:18 MSK 2022","54889","tests","test_allowed_addresses","Test_allowed_addresses","","","test_creat_new_allowed_addresses[test_name4-path4-test_data4]","Создание/Удаление разрешённого адреса"
"passed","Wed Aug 24 11:34:15 MSK 2022","Wed Aug 24 11:35:13 MSK 2022","57946","tests","test_allowed_addresses","Test_allowed_addresses","","","test_creat_new_allowed_addresses[test_name3-path3-test_data3]","Создание/Удаление разрешённого адреса"
"passed","Wed Aug 24 11:34:14 MSK 2022","Wed Aug 24 11:34:22 MSK 2022","8306","tests","test_service_management","Test_service_management","","","test_start_services_at_a_time[service4]","Запуск сервиса"
"passed","Wed Aug 24 11:32:18 MSK 2022","Wed Aug 24 11:32:28 MSK 2022","9978","tests","test_service_management","Test_service_management","","","test_stop_services_at_a_time[service4]","Остановка сервиса"
"passed","Wed Aug 24 11:33:56 MSK 2022","Wed Aug 24 11:34:05 MSK 2022","9343","tests","test_service_management","Test_service_management","","","test_start_services_at_a_time[service3]","Запуск сервиса"
"passed","Wed Aug 24 11:30:32 MSK 2022","Wed Aug 24 11:31:01 MSK 2022","29510","tests","test_places_publication","Test_places_publication","","","test_create_place_publication[test_data0]","Создание/Редактирование/Удаление места публикации"
"passed","Wed Aug 24 11:31:48 MSK 2022","Wed Aug 24 11:32:54 MSK 2022","66446","tests","test_allowed_addresses","Test_allowed_addresses","","","test_creat_new_allowed_addresses[test_name1-path1-test_data1]","Создание/Удаление разрешённого адреса"
"passed","Wed Aug 24 11:32:04 MSK 2022","Wed Aug 24 11:33:51 MSK 2022","106858","tests","test_localuser","Test_localuser","","","test_edit_local_user[test_name0-path0-test_data0]","Создание\Редактирование\Удаление локального пользователя"
"passed","Wed Aug 24 11:30:32 MSK 2022","Wed Aug 24 11:31:53 MSK 2022","80843","tests","test_localuser","Test_localuser","","","test_creat_new_local_user[test_name0-path0-test_data0]","Создание\Удаление локального пользователя"
